INFO:root:{'delta_E': -0.9281759960665663, 'flips': 2, 'total_E': -6.410546331751743e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 6.297594693002318, 'flips': 1, 'total_E': -5.541069550221847e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -2.610918379341714, 'flips': 4, 'total_E': -5.901545735173823e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.4992904853140654, 'flips': 8, 'total_E': -5.832611244247985e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 1.4314669447622603, 'flips': 8, 'total_E': -5.634975903666078e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.43491161024003444, 'flips': 3, 'total_E': -5.574929875689449e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -3.5197794324685154, 'flips': 4, 'total_E': -6.060887871055271e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -2.8106903818134943, 'flips': 3, 'total_E': -6.448945557551313e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -9.412571928734666, 'flips': 5, 'total_E': -7.748491359634872e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.7486768996005551, 'flips': 3, 'total_E': -7.645125358359211e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 1.7998882407730465, 'flips': 3, 'total_E': -7.396623968385705e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -0.2478784349216572, 'flips': 4, 'total_E': -7.43084727971532e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 3.6007698979724734, 'flips': 4, 'total_E': -6.93370734382874e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 7.431432179148731, 'flips': 3, 'total_E': -5.907687403157788e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
